0: 191,104,70,84
1: 97,196,181
2: 130,194,224,157,35,200
3: 101,307,222,206,117,53,274
4: 59,289,110,182,60
6: 119,128,153,71,233,244,320
70: 239,104,285,0,305,84
94: 202,190,315,263,58
9: 108,246,273,137,195,251
11: 144,313,161
12: 201,265,65,140,212
13: 163,258,166
129: 117,223
19: 16,89,207,228,286,218
16: 19,207,286
225: 222,278,117
18: 184,308,260,90,106,293
20: 136,280,247,230,88,137,29
21: 210,254,311,318
22: 156,317,288,235,192,312
23: 100,321,86,156
24: 170,62,212,294
25: 126,229,221,133
26: 81,281,314,262,164
27: 47,300,147,112,178
28: 176,214,275,301
29: 92,287,20,230,137
30: 122,243,50
31: 63,309,269,238,177
32: 96,290,168,284,282,165
33: 95,224,202,106,293
58: 263,94,155
35: 157,253,128,2,200,231,240
36: 193,198,48,291,154,79,152
37: 268,203,161,78,188,271
38: 124,170,223
39: 306,116,150,68,279,120
101: 307,3,274,189
41: 216,209,191,131
86: 172,181,49,185,23,321
43: 245,264,256,132,283
44: 135,285,305,229,220
156: 22,288,23,100,321,158
46: 167,279,314,195,272,287
47: 27,292,147
48: 198,36,226,152
49: 185,283,196,256,181,86
50: 310,30
51: 174,113,148,297,204
52: 109,258,215,269,309
53: 121,73,179,206,307,3
54: 186,125,141,248,59
55: 112,261,178,241,232
215: 298,87,109,52
77: 147,246,273,138,88
59: 4,289,110,186,54,141,96
60: 182,4,289
61: 199,316,98
62: 124,213,69,255,212,170,24
63: 31,87,302,177,183
64: 161,78,240,231,313
65: 151,140,227,205,255,12
176: 28,214,275,76,216,209
67: 303,203,175,188,319
68: 279,314,39,120
69: 255,205,213,62
71: 177,233,183,244,6
72: 130,194,257
73: 121,53,306,179,197,228,211
128: 6,119,233,35,253,240
224: 95,33,157,194,2
76: 176,275,209
78: 64,161,240,119,37,268
79: 154,36,152
80: 132,83,317,245,210,276
81: 26,281,207,120,322,286,142
117: 129,259,225,222,3,274
83: 80,317,210,318,192,169
84: 0,239,70
87: 171,215,193,63,309,291
88: 137,138,280,20,77,273
89: 19,180,286
90: 149,238,260,18,184
91: 242,230,266,234,247,151,140
92: 29,272,287,242,230,201
93: 212,294,265,116,173
95: 224,33,202,155,257,194
96: 32,290,141,59,289,282
97: 174,113,1
98: 260,166,61
99: 245,264,160,118,226
100: 23,156,158,249
102: 244,162,183,254,311,175,320
103: 139,235,115,296
104: 285,214,216,191,0,70
105: 298,198
106: 293,260,202,190,18,33
107: 206,294,278,173
108: 9,299,195,167,164
109: 258,52,215
110: 186,208,232,182,4,59
111: 182,236,208
112: 55,261,178,27,300
113: 51,174,148,97,196,256
114: 145,217,200,231,144,313
115: 296,188,271,319,103
116: 306,39,265,150,93,173
118: 226,304,99,245,210
119: 6,128,153,78,240,268
120: 207,197,322,68,306,39,81
121: 53,73,307,211
122: 218,243,30
123: 227,250,266
124: 213,62,38,170
125: 241,251,299,186,54,248
126: 25,229,220
318: 303,210,21,311,83,169
130: 72,194,2,200,237,217
131: 219,41,209
132: 80,43,245,283,276
133: 277,221,25
134: 252,277
135: 44,214,285
136: 280,20,247,143
137: 88,195,20,273,29,287,9
138: 292,77,88
139: 103,235,312
140: 65,151,91,242,201,12
141: 262,248,54,59,96,290
142: 168,180,286,81,281
143: 250,234,136,247
144: 11,313,114
145: 114,217
146: 274,259
147: 77,246,27,47,178
